评论ID,评论内容,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复总数,ip归属
7408467685896078095,这男主真是一言难尽,46,2024-08-29 16:10:13,手机用户63956713433,https://www.douyin.com/user/MS4wLjABAAAAM7lU3OJjNzjNXFw7DUB4ebZznmbGXWlcd4cHqkjjF-o,,未知,4,云南
7484511879768949556,她怎么有这么厉害的武功，我不信，这一定是假的~不应该是这个台词吗？[呲牙][呲牙][呲牙][呲牙],0,2025-03-22 14:10:12,BG3GAC,https://www.douyin.com/user/MS4wLjABAAAApjZAF2m6abFJu24YbgYDsZOAQHmgwfchncAsQfaJ5RZ32HkD2Gfc33bcyKz1k41x,dys8ifc725i0,未知,0,内蒙古
7408159315696485172,这部剧我还真没快进 看的最认真的[呲牙],228,2024-08-28 20:18:58,起司奶香猫🐱,https://www.douyin.com/user/MS4wLjABAAAA9SeNVKaA9v8M-A-jELJuVYvesFvSP_YdTdbH4fpDm2c,,未知,4,天津
7413705639480902415,易昉好美哦，想看美女挨军棍的样子[呲牙],132,2024-09-12 18:53:44,斗风傲雪,https://www.douyin.com/user/MS4wLjABAAAAoWW2Ra76pCjExbzMp8Mf7xvIJNrbzFBy-EZsY4IpdMgOXk9A3WJhqKX78CfojjNy,doufengaoxue,未知,3,辽宁
7410055004700410624,男女主有夫妻相,93,2024-09-02 22:51:32,果儿麻麻,https://www.douyin.com/user/MS4wLjABAAAA5bOjKAQyIqXM8lhX-N3NWyZgMElJfPTceNW5sCRjCRDvouQc8Xmv0HvGA628AMUJ,GUO201810,未知,4,山东
7409338413947667210,看清楚，苏兰基是要找女二报仇，所以现在女主不能杀了她，不然，苏兰基就会滥杀其他无辜百姓,72,2024-09-01 00:43:39,袁了个梦,https://www.douyin.com/user/MS4wLjABAAAAtK9gQN2-4hX8wkUuvTDjmyP95v9U7HIrUGqPneiFWvs,ydm13311152294,未知,0,江西
7406697297336009472,前面说是祖父，这集成外祖父。[灵机一动],47,2024-08-24 21:45:29,vv藏心sunny,https://www.douyin.com/user/MS4wLjABAAAArdSO186n_n-LvXlgbvLj8Win18AQr0D-I8Gb0oN2CcA,,未知,3,浙江
7405631776826098447,惜惜最带感,69,2024-08-22 00:33:45,😋笑~鹤~呵🌈期待都是好结果,https://www.douyin.com/user/MS4wLjABAAAA59ZIF3odOhahjBvGXNzCi-6QUVMiX2hvaQ_XyTaF1x3jSH3u5KOpBW0VyxBoHmaB,xindekaishi251,未知,0,广东
7415140848646505231,苏兰基是找易彷报仇雪恨，西京太子是死在易彷手里，易彷用西京太威胁西京国王签暑合约，为了一己私欲领功，易彷就是一个卑鄙无耻的小人。[弱][弱][弱],34,2024-09-16 15:43:16,回忆过去珍惜今生,https://www.douyin.com/user/MS4wLjABAAAA0NJ-lpIW_UABKUGE1MZgBJJAMUElj_s5arT1GRWmnHFdjA5U4u1rV04xDVux0-tl,dyatoa1nhxal,未知,0,吉林
7408148767263752998,看着真憋屈[抠鼻]，虽然觉得男主说的对,23,2024-08-28 19:32:09,沫狸K i s s（关必回）,https://www.douyin.com/user/MS4wLjABAAAAlQzA8FnlyRTcOHpG5wM-oV4sfJJPkq_0dto5FlVZN7DvDl0PhZS6wcgLrkjxbTNq,moliKissguan,未知,0,河南
7414929364289110818,两个男的，一个反悔了，一个正在追求，这个短剧可真有意思…,12,2024-09-16 02:43:54,九重霜花,https://www.douyin.com/user/MS4wLjABAAAATtrH1Q1qlyqoYjBfv2xoo36pP4SouSIdzrE6sGFCVJw,foodieA999,未知,0,广东
7409167269572330291,喜欢惜惜,11,2024-08-31 13:27:18,仲夏,https://www.douyin.com/user/MS4wLjABAAAAnIDdKWSBMaBcoxtgvyuH3xenSCRrjRJPw3LaMDkzy4I,,未知,0,河南
7408733969174758183,这男主女主一点不比明星差。,90,2024-08-30 09:31:32,雨夜浪星空,https://www.douyin.com/user/MS4wLjABAAAAUPp_5Ur00Ph3ABopsdpKK6BJLw7WksC-AMIOxoiOdK2glCO0c4hUSYocKoaVR_Bl,zhang_x599,未知,0,湖北
7411520939291083520,西京太子怎么了？,10,2024-09-06 21:35:04,柒佰萬年前的神司,https://www.douyin.com/user/MS4wLjABAAAAd-TEOY3bGiqp4yvuGGXraSdjoh8VJbTKhqMcps_8ZviRnMzeh4u0IBEG-MhtXp6y,ruyiya96315,未知,0,四川
7412003179502814004,宋惜惜发怒的样子真帅,13,2024-09-08 05:47:50,顺风顺水,https://www.douyin.com/user/MS4wLjABAAAATWnVH486AGDreiWYPLH7jDGThwyiYEtB-2LEZKNxRtw,tingnidexint,未知,0,山东
7412834313177383689,比很多电视剧都强,11,2024-09-10 10:33:59,❤英文,https://www.douyin.com/user/MS4wLjABAAAAJrMqK0y4h9Tx4gBLesvEkz7esJQZT9_uYLSI9nokJBo,,未知,0,陕西
7432295621493801755,王爷其实长得还行，感觉主要妆容有问题，特别是这个发型,0,2024-11-01 21:10:52,emm⋯,https://www.douyin.com/user/MS4wLjABAAAACp3LF2d2azBHCtKUpI63ExPUlVII-wH6sobBOzZk-Vs,,未知,0,上海
7407823935427904306,祖父这边已经没有人了,9,2024-08-27 22:39:44,紫米一个,https://www.douyin.com/user/MS4wLjABAAAANmZFd-60NnGHNKjKJI7LqF-2WLHTEFZiotwwI3EFvxM,dyg6qsmn66gg,未知,0,湖南
7474135603464209161,男一很耐看，刚看觉得跟书上相差很大，越看越有味道,0,2025-02-22 15:05:21,梅清木秀,https://www.douyin.com/user/MS4wLjABAAAAKVWajPuKMtKSfp5q99gpQGlnb9mE4FaMu8Z3A_ZZoBpJKghwN_pvOKQKd-YyE39H,dy12dh9op12e5,未知,0,广东
7420316333030163252,折戟沉沙铁未销，自将磨洗认前朝 凄凄惨惨戚戚。乍暖还寒时候。[比心][玫瑰],2,2024-09-30 14:29:55,打卡抖2,https://www.douyin.com/user/MS4wLjABAAAA22Ysx8cxamqygIDvwlW9XimBmrv4sKFfbViBlYuWeA2Jss92XCc6ZbxqkuVWYMiq,83243535787,未知,0,广东
7422455652553769755,这部剧是这类剧里面最好的一个，角色，演技，剧情都非常棒,3,2024-10-06 08:50:02,知足常乐99,https://www.douyin.com/user/MS4wLjABAAAAi9BHZBDT9QJFR-nUxVDvcmfQrpkaFq0Wyr47jXA5G32w3BTTBjfSeEzA6XGTdA_2,dyeds1qi4433,未知,0,辽宁
7414387088269705995,男主和女主的演员太般配了，颜值太高了,17,2024-09-14 15:11:57,忠维百货,https://www.douyin.com/user/MS4wLjABAAAAkSBcNDaf-llfv03PMr1pTBQ4lrEe_WZYuS2j05GlU3w,jzw19630501,未知,0,安徽
7409336486509937408,小说看了一半，还没看完[捂脸],11,2024-09-01 00:36:42,欢欢喜喜,https://www.douyin.com/user/MS4wLjABAAAAkYamuhW9gmIQxUL8tv30UjfjZQbeFFSbeWPrh-7N4bo,liyu13888,未知,0,广东
7424671415813473024,先看了书再看剧，还挺还原的，要是男主再帅点就好了。,2,2024-10-12 08:15:47,美满,https://www.douyin.com/user/MS4wLjABAAAAVRRLMFnd7h1-3wuPY_3krnWX3dZ1dTgdKYndRrflhWtOfdc_RP0GZeOIRcVDfUc6,xu5201849,未知,0,江苏
7418473103268152099,这小娘子，眼神，气质，言谈表演太自然太到位了。绝对实力派！,4,2024-09-25 15:20:39,泰兴泽方专业甲醛检测，,https://www.douyin.com/user/MS4wLjABAAAAuvL_CGSa0YszWSG-OajriUOwGf9nTYAUMsMbJ3dZjI8,weiaiqihang939,未知,0,江苏
7413788202971104000,看小说时很仔细和认真，几乎每个情节都还记忆犹新，所以看短剧就跳着看喜欢看的章节[捂脸][呲牙][呲牙],8,2024-09-13 00:29:48,G久凰爷,https://www.douyin.com/user/MS4wLjABAAAAoBe04jY_OAd6aEOYZwSxWeNEvTiZRDYXRN6-HnfwL8g,dyjj2789,未知,0,上海
7422833270285009683,男主其实很帅，只是造型不咋滴，不适合,1,2024-10-07 09:15:18,又见江南雨,https://www.douyin.com/user/MS4wLjABAAAAqoCee_MnpfgLNziD5oKWUrZNXHI9hwvyqm1lAWyVlO0,,未知,0,浙江
7416185044774060852,这一木棍真厉害，宋西西，你真棒,3,2024-09-19 11:20:04,丹凤朝阳,https://www.douyin.com/user/MS4wLjABAAAANOsNKqjkvECxpBDRkm1-yBCdGM3OcXsnZ3T4wrbCqxZkcHSAab_Dp2z9yDZnsZ2J,dyvj33jolvjr,未知,0,江苏
7412899270565823284,前夫懵逼状态[大笑],7,2024-09-10 14:52:44,男儿当自强,https://www.douyin.com/user/MS4wLjABAAAAoq_n0GQY-Q4kXTu5QRV-pnjKquSnqgP8zZloSrL3qaqn6EpVG-K6NM9mVEbiUGUF,dyuosihai8ww,未知,0,浙江
7418849873389355795,战将军有点像王楚钦,2,2024-09-26 15:48:56,遇见N,https://www.douyin.com/user/MS4wLjABAAAACecNeiRAjjOhccyUXDM1wbHsHzJTCviCCXSxlQxThhg,,未知,0,山西
7409216112430973715,苏什么基为什么帮女二,3,2024-08-31 16:43:39,大耳朵澄澄,https://www.douyin.com/user/MS4wLjABAAAALvXKsgKQN3w8XASW_NzjA-r1mznrEiSxK_wop9V-Px8,,未知,0,广东
7409133001957491506,侄儿呢，去哪儿了,3,2024-08-31 11:13:33,粮木栖息,https://www.douyin.com/user/MS4wLjABAAAADcIJO_DqJE-KZYTnqlGfUZoPNdWKoI1vpHoHl_ms8SI,,未知,0,重庆
7418937118862426917,[微笑][微笑][微笑],0,2024-09-26 21:10:53,棒棒,https://www.douyin.com/user/MS4wLjABAAAATwKWJ5zPSzzulZmISFgT1_iSBfJ2t-FY-IO7672IUjY,bangbang6644,未知,0,河南
7415283443426640655,👍,1,2024-09-17 01:07:29,凯玛昂贸易商行,https://www.douyin.com/user/MS4wLjABAAAAIBkkFRQz4EDeQvZW-7-eljw_f1iuknUtDp3a82r9kcSf4W-9tBevuT2Q5AX85Lfj,80043711972,未知,0,上海
7412887040759743282,[玫瑰][玫瑰][玫瑰],0,2024-09-10 13:47:49,延伸的青藤,https://www.douyin.com/user/MS4wLjABAAAAl5aQ6WB35O0E8CgCR00wdjD2-BkMDlSOxXqQWKwAUgs,,未知,0,福建
7412886986085663539,[666][666][666],0,2024-09-10 13:47:33,延伸的青藤,https://www.douyin.com/user/MS4wLjABAAAAl5aQ6WB35O0E8CgCR00wdjD2-BkMDlSOxXqQWKwAUgs,,未知,0,福建
